operator,scenario,device_time_mean_ms,wall_time_mean_ms,params_json,source,accuracy_passed
flash_linear_attention,gla_prefill_s4096,0.2706,2.6703,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":4096,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel, 4K context""}","GLA model prefill, chunk kernel, 4K context",True
flash_linear_attention,gla_prefill_s8192,0.5177,2.8761,"{""num_heads"":16,""head_dim"":64,""dtype"":""bf16"",""batch"":1,""seq_len"":8192,""phase"":""prefill"",""source"":""GLA model prefill, chunk kernel, 8K context""}","GLA model prefill, chunk kernel, 8K context",True
flash_mla,deepseek_v3_mla_decode_b1_cache1k,0.3126,2.6796,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""decode"",""batch"":1,""seq_len"":1,""kv_seq_len"":1024,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA decode, 1K cache""}","FlashInfer-Trace, DeepSeek-V3 MLA decode, 1K cache",True
flash_mla,deepseek_v3_mla_decode_b1_cache4k,1.1626,3.5325,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""decode"",""batch"":1,""seq_len"":1,""kv_seq_len"":4096,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA decode, 4K cache""}","FlashInfer-Trace, DeepSeek-V3 MLA decode, 4K cache",True
flash_mla,deepseek_v3_mla_decode_b4_cache1k,1.0904,3.4649,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""decode"",""batch"":4,""seq_len"":1,""kv_seq_len"":1024,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=4""}","FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=4",True
flash_mla,deepseek_v3_mla_decode_b16_cache1k,9.114,11.4623,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""decode"",""batch"":16,""seq_len"":1,""kv_seq_len"":1024,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=16""}","FlashInfer-Trace, DeepSeek-V3 MLA decode, batch=16",True
flash_mla,deepseek_v3_mla_prefill_s128,0.0572,2.4187,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""prefill"",""batch"":1,""seq_len"":128,""kv_seq_len"":128,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA prefill short""}","FlashInfer-Trace, DeepSeek-V3 MLA prefill short",True
flash_mla,deepseek_v3_mla_prefill_s512,0.2743,2.6727,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""prefill"",""batch"":1,""seq_len"":512,""kv_seq_len"":512,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA prefill medium""}","FlashInfer-Trace, DeepSeek-V3 MLA prefill medium",True
flash_mla,deepseek_v3_mla_prefill_s1024,0.7329,3.12,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""prefill"",""batch"":1,""seq_len"":1024,""kv_seq_len"":1024,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA prefill 1K""}","FlashInfer-Trace, DeepSeek-V3 MLA prefill 1K",True
flash_mla,deepseek_v3_mla_prefill_s2048,4.7408,7.1139,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""prefill"",""batch"":1,""seq_len"":2048,""kv_seq_len"":2048,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA prefill 2K""}","FlashInfer-Trace, DeepSeek-V3 MLA prefill 2K",True
flash_mla,deepseek_v3_mla_prefill_s4096,15.2459,17.6231,"{""dtype"":""bf16"",""causal"":true,""num_heads"":128,""num_kv_heads"":16,""head_dim"":128,""kv_lora_rank"":512,""phase"":""prefill"",""batch"":1,""seq_len"":4096,""kv_seq_len"":4096,""source"":""FlashInfer-Trace, DeepSeek-V3 MLA prefill 4K""}","FlashInfer-Trace, DeepSeek-V3 MLA prefill 4K",True
flashattention,qwen3_30b_gqa_decode_b1,0.0121,2.3545,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":1,""kv_len"":1024,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA decode, batch=1, cache=1K"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""decode""}","Qwen3-30B-A3B, GQA decode, batch=1, cache=1K",True
flashattention,qwen3_30b_gqa_decode_b4,0.0161,2.4174,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":4,""seq_len"":1,""kv_len"":1024,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA decode, batch=4, cache=1K"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""decode""}","Qwen3-30B-A3B, GQA decode, batch=4, cache=1K",True
flashattention,qwen3_30b_gqa_decode_b8,0.0251,2.4189,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":8,""seq_len"":1,""kv_len"":1024,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA decode, batch=8, cache=1K"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""decode""}","Qwen3-30B-A3B, GQA decode, batch=8, cache=1K",True
flashattention,qwen3_30b_gqa_decode_b16,0.0391,2.4189,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":16,""seq_len"":1,""kv_len"":1024,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA decode, batch=16, cache=1K"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""decode""}","Qwen3-30B-A3B, GQA decode, batch=16, cache=1K",True
flashattention,qwen3_30b_gqa_prefill_s128,0.0182,2.4164,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":128,""kv_len"":128,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=128"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=128",True
flashattention,qwen3_30b_gqa_prefill_s256,0.0268,2.4191,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":256,""kv_len"":256,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=256"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=256",True
flashattention,qwen3_30b_gqa_prefill_s512,0.0749,2.4192,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":512,""kv_len"":512,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=512"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=512",True
flashattention,qwen3_30b_gqa_prefill_s1024,0.1954,2.5488,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":1024,""kv_len"":1024,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=1024"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=1024",True
flashattention,qwen3_30b_gqa_prefill_s2048,0.5873,2.9494,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":2048,""kv_len"":2048,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=2048"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=2048",True
flashattention,qwen3_30b_gqa_prefill_s4096,1.9912,4.3611,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":4096,""kv_len"":4096,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=4096"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=4096",True
flashattention,qwen3_30b_gqa_prefill_s8192,14.7323,17.1164,"{""num_heads"":32,""num_kv_heads"":4,""head_dim"":128,""causal"":true,""batch"":1,""seq_len"":8192,""kv_len"":8192,""dtype"":""bf16"",""source"":""Qwen3-30B-A3B, GQA prefill, seq=8192"",""model"":""Qwen/Qwen3-30B-A3B"",""phase"":""prefill""}","Qwen3-30B-A3B, GQA prefill, seq=8192",True
fp8_einsum,deepseek_v3_einsum_decode_b1,0.0226,2.4219,"{""batch"":128,""M"":1,""K"":128,""N"":1024,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, decode, batch=1"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3 attention einsum, decode, batch=1",True
fp8_einsum,deepseek_v3_einsum_decode_b4,0.0226,2.4192,"{""batch"":128,""M"":4,""K"":128,""N"":1024,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, decode, batch=4"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3 attention einsum, decode, batch=4",True
fp8_einsum,deepseek_v3_einsum_decode_b8,0.0138,2.4074,"{""batch"":128,""M"":8,""K"":128,""N"":1024,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, decode, batch=8"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3 attention einsum, decode, batch=8",True
fp8_einsum,deepseek_v3_einsum_prefill_s64,0.0079,2.3537,"{""batch"":128,""M"":64,""K"":128,""N"":64,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=64"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=64",True
fp8_einsum,deepseek_v3_einsum_prefill_s128,0.013,2.3544,"{""batch"":128,""M"":128,""K"":128,""N"":128,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=128"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=128",True
fp8_einsum,deepseek_v3_einsum_prefill_s256,0.0266,2.4191,"{""batch"":128,""M"":256,""K"":128,""N"":256,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=256"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=256",True
fp8_einsum,deepseek_v3_einsum_prefill_s512,0.0469,2.4187,"{""batch"":64,""M"":512,""K"":128,""N"":512,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=512"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=512",True
fp8_einsum,deepseek_v3_einsum_prefill_s1024,0.0813,2.4847,"{""batch"":32,""M"":1024,""K"":128,""N"":1024,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=1024"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=1024",True
fp8_einsum,deepseek_v3_einsum_prefill_s2048,0.2772,2.6813,"{""batch"":32,""M"":2048,""K"":128,""N"":2048,""dtype"":""bf16"",""equation"":""bik,bkj->bij"",""source"":""DeepSeek-V3 attention einsum, prefill, seq=2048"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""prefill""}","DeepSeek-V3 attention einsum, prefill, seq=2048",True
fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_decode_b1,0.0385,2.4171,"{""num_tokens"":1,""num_heads"":128,""head_dim"":128,""dtype"":""bf16"",""source"":""DeepSeek-V3 inverse RoPE + FP8, decode, batch=1"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3 inverse RoPE + FP8, decode, batch=1",True
fused_inv_rope_fp8_quant,deepseek_v3_inv_rope_decode_b4,0.0406,2.4188,"{""num_tokens"":4,""num_heads"":128,""head_dim"":128,""dtype"":""bf16"",""source"":""DeepSeek-V3 inverse RoPE + FP8, decode, batch=4"",""model"":""deepseek-ai/DeepSeek-V3"",""phase"":""decode""}","DeepSeek-V3 inverse RoPE + FP8, decode, batch=4",True
